"GEOID","OBJECTID","DTH_CUM_CP","population"
"55079017500",1859981,7,3535
"55079017600",1885299,6,2883
"55079017900",1883583,0,3028
"55079018000",1969619,6,2779
"55079018100",2593718,0,1754
"55079018200",2861009,3,1637
"55079018300",2749228,4,2451
"55079018400",1969398,1,1384
"55079018500",2622316,1,1930
"55079018600",2112246,5,2722
"55079018700",2041356,5,3551
"55079018800",2388807,3,1904
"55079018900",2620954,7,1941
"55079019000",2647532,7,4607
"55079019100",2813865,10,3868
"55079019200",2901487,7,3411
"55079019300",2143851,3,3150
"55079019400",1883057,9,3920
"55079019500",2703261,8,3359
"55079019600",2870634,6,3508
"55079019700",1890383,8,6068
"55079019800",2233600,10,6061
"55079019900",2597501,14,3956
"55079020000",2149752,7,3600
"55079020100",2372386,11,4131
"55079020200",2399034,3,3731
"55079020300",2701251,7,4139
"55079020400",1857980,6,3641
"55079020500",2014149,3,2793
"55079020600",2199103,3,3613
"55079020700",2096496,5,4592
"55079020800",2453950,0,3208
"55079020900",2585997,9,2782
"55079021000",1980117,0,2211
"55079021100",2405647,0,1518
"55079021200",2634735,2,2166
"55079021300",2520473,3,1581
"55079021400",1916028,3,3290
"55079021500",2102921,3,3000
"55079021600",2629607,6,4620
"55079021700",2116737,21,6212
"55079021800",2237038,11,2249
"55079030100",2039763,14,4439
"55079035100",2771010,3,2222
"55079035200",2213536,2,4428
"55079040100",2391405,9,1449
"55079050101",2452486,14,5465
"55079050102",2786007,14,6500
"55079060101",2605301,7,3867
"55079060102",2597033,6,3121
"55079060200",2447995,29,5955
"55079070100",2337324,0,4283
"55079070200",2567441,2,5002
"55079070300",2319955,5,4687
"55079080100",2208913,2,2679
"55079080200",2402315,4,3557
"55079080300",2842933,2,3835
"55079080400",1893783,7,3219
"55079090100",2407632,17,4201
"55079090200",2501557,3,1870
"55079090300",2063433,5,3152
"55079090600",2023237,18,4643
"55079090700",1917347,0,3148
"55079090800",2848484,0,2233
"55079090900",2318789,31,4007
"55079091000",2862818,3,4745
"55079091100",2267197,2,4320
"55079091200",2774857,4,5588
"55079091300",2488563,3,3823
"55079091400",2653608,1,2335
"55079100100",2819318,7,3987
"55079100200",2260045,5,4130
"55079100300",2520640,17,2499
"55079100400",2445249,4,2826
"55079100500",2919929,22,3674
"55079100600",2258011,1,1998
"55079100700",2421754,4,3337
"55079100800",2177733,4,2814
"55079100900",2263825,5,3931
"55079101000",2597934,5,5149
"55079101100",2901219,3,1779
"55079101200",2235780,33,3175
"55079101300",2196453,5,2631
"55079101400",2804864,2,3910
"55079101500",2279653,8,4148
"55079101600",2168877,22,4112
"55079101700",2292426,3,3493
"55079101800",2090741,6,2432
"55079110100",2480997,10,4146
"55079120101",2335732,10,4171
"55079120102",1968629,16,3924
"55079120201",2800663,9,3771
"55079120202",2443081,5,3045
"55079120203",2039866,14,3487
"55079120300",1997913,1,2159
"55079120400",2657768,18,6505
"55079120501",2110766,13,4344
"55079120502",2006744,32,5519
"55079130100",2189871,20,4700
"55079130200",2309822,10,2946
"55079140100",2749176,11,3099
"55079140201",2258986,15,5156
"55079140202",2874226,10,5921
"55079150100",2314256,24,8696
"55079150301",2340477,6,5832
"55079150303",2331789,12,4925
"55079150304",2250651,8,4313
"55079160100",2114927,13,6607
"55079160202",1945406,30,7539
"55079160203",2566306,8,6478
"55079160204",2801218,7,5295
"55079160300",2515197,21,10147
"55079170100",2506761,3,2638
"55079170200",2805730,13,3974
"55079170300",2314581,2,2454
"55079170400",2272020,8,3107
"55079170500",2606227,23,2594
"55079170600",2126579,8,3492
"55079170700",2118969,6,2698
"55079180100",2684498,4,2891
"55079180200",2775504,5,5095
"55079180300",2284887,5,3071
"55079180400",1953568,4,2608
"55079180500",2405131,20,4606
"55079185100",2465120,11,4667
"55079185200",2663051,14,4882
"55079185300",2515658,9,3906
"55079185400",2780040,1,1351
"55079185500",2702458,3,1599
"55079185600",2553973,6,1688
"55079185700",2112020,1,1603
"55079185800",2711723,2,1458
"55079185900",2702874,6,903
"55079186000",2281235,4,1412
"55079186100",1946283,3,1879
"55079186200",2879660,1,1516
"55079186300",2629013,1,4277
"55079186400",2053479,1,1398
"55079186500",2235387,4,2015
"55079186600",2328605,1,2040
"55079186800",1930520,7,1680
"55079186900",2824364,16,2403
"55079187000",2746390,4,3622
"55079187200",2427441,2,5702
"55079187300",2486912,11,6596
"55079187400",1982147,1,3524
"55079980000",1942505,0,0
"55081950100",2772096,5,4744
"55081950200",2243539,6,4825
"55081950300",2041644,6,6436
"55081950400",2096544,20,4485
"55081950500",2625099,15,5960
"55081950600",2307235,10,4321
"55081950700",2781029,4,4969
"55081950800",2065404,3,4458
"55081950900",2146869,5,5573
"55083100300",2820373,11,2928
"55083100500",2603302,2,2256
"55083100600",2354731,11,2764
"55083100700",2897199,13,2644
"55083100800",2888637,5,2465
"55083100900",2533508,5,2891
"55083101000",2057871,16,3932
"55083101100",2143179,3,4610
"55083101200",2572383,17,4204
"55083101300",2842173,14,8952
"55083990000",2183482,0,0
"55085970101",2307731,2,1656
"55085970102",2850948,9,3035
"55085970400",2029877,13,2911
"55085970500",1955088,1,1941
"55085970601",2109011,1,2165
"55085970602",2398033,7,3601
"55085970800",2803304,7,2260
"55085970900",2760274,12,2307
"55085971001",2647699,4,1238
"55085971002",2224891,7,2232
"55085971100",2420155,9,2076
"55085971300",2513177,11,1845
"55085971400",2920020,4,3613
"55085971500",2097571,23,4501
"55087010100",2660636,1,2830
"55087010200",2825772,3,4348
"55087010300",2005314,9,2366
"55087010500",2221376,1,4254
"55087010601",2381059,7,3971
"55087010602",2171968,9,4057
"55087010700",2501093,4,4313
"55087010800",2665354,12,1441
"55087010900",2691491,1,2204
"55087011000",2300232,8,5633
"55087011101",2429402,5,4737
"55087011102",2217833,20,7089
"55087011200",2480500,7,3077
"55087011300",2886069,0,2967
"55087011400",2429678,27,5423
"55087011501",2185069,4,3319
"55087011502",2047693,11,4278
"55087011600",2006223,17,6987
"55087011700",2288057,8,2491
"55087011800",2086673,0,1949
"55087011900",2510186,7,8757
"55087012000",2071313,8,7085
"55087012100",1866757,41,7616
"55087012200",2548375,2,1942
"55087012300",2574561,3,1541
"55087012400",2035762,2,3343
"55087012503",2384103,4,3787
"55087012504",2242723,3,3777
"55087012505",2715306,5,4935
